timekey,date,daynameweek,daynbmonth,monthnumber,monthname,quarter,semester,year
251,2016-03-09,Wednesday,9,3,March    ,1,1,2016
252,2016-03-10,Thursday ,10,3,March    ,1,1,2016
253,2016-03-11,Friday   ,11,3,March    ,1,1,2016
254,2016-03-14,Monday   ,14,3,March    ,1,1,2016
255,2016-03-15,Tuesday  ,15,3,March    ,1,1,2016
256,2016-03-16,Wednesday,16,3,March    ,1,1,2016
257,2016-03-17,Thursday ,17,3,March    ,1,1,2016
258,2016-03-18,Friday   ,18,3,March    ,1,1,2016
259,2016-03-21,Monday   ,21,3,March    ,1,1,2016
260,2016-03-22,Tuesday  ,22,3,March    ,1,1,2016
261,2016-03-23,Wednesday,23,3,March    ,1,1,2016
262,2016-03-28,Monday   ,28,3,March    ,1,1,2016
263,2016-03-29,Tuesday  ,29,3,March    ,1,1,2016
264,2016-03-30,Wednesday,30,3,March    ,1,1,2016
265,2016-03-31,Thursday ,31,3,March    ,1,1,2016
266,2016-04-01,Friday   ,1,4,April    ,2,1,2016
267,2016-04-04,Monday   ,4,4,April    ,2,1,2016
268,2016-04-05,Tuesday  ,5,4,April    ,2,1,2016
269,2016-04-06,Wednesday,6,4,April    ,2,1,2016
270,2016-04-07,Thursday ,7,4,April    ,2,1,2016
271,2016-04-08,Friday   ,8,4,April    ,2,1,2016
272,2016-04-11,Monday   ,11,4,April    ,2,1,2016
273,2016-04-12,Tuesday  ,12,4,April    ,2,1,2016
274,2016-04-13,Wednesday,13,4,April    ,2,1,2016
275,2016-04-14,Thursday ,14,4,April    ,2,1,2016
276,2016-04-15,Friday   ,15,4,April    ,2,1,2016
277,2016-04-18,Monday   ,18,4,April    ,2,1,2016
278,2016-04-19,Tuesday  ,19,4,April    ,2,1,2016
279,2016-04-20,Wednesday,20,4,April    ,2,1,2016
280,2016-04-21,Thursday ,21,4,April    ,2,1,2016
281,2016-04-22,Friday   ,22,4,April    ,2,1,2016
282,2016-04-25,Monday   ,25,4,April    ,2,1,2016
283,2016-04-26,Tuesday  ,26,4,April    ,2,1,2016
284,2016-04-27,Wednesday,27,4,April    ,2,1,2016
285,2016-04-28,Thursday ,28,4,April    ,2,1,2016
286,2016-04-29,Friday   ,29,4,April    ,2,1,2016
287,2016-05-02,Monday   ,2,5,May      ,2,1,2016
288,2016-05-03,Tuesday  ,3,5,May      ,2,1,2016
289,2016-05-04,Wednesday,4,5,May      ,2,1,2016
290,2016-05-05,Thursday ,5,5,May      ,2,1,2016
291,2016-05-06,Friday   ,6,5,May      ,2,1,2016
292,2016-05-09,Monday   ,9,5,May      ,2,1,2016
293,2016-05-10,Tuesday  ,10,5,May      ,2,1,2016
294,2016-05-11,Wednesday,11,5,May      ,2,1,2016
295,2016-05-12,Thursday ,12,5,May      ,2,1,2016
296,2016-05-13,Friday   ,13,5,May      ,2,1,2016
297,2016-05-16,Monday   ,16,5,May      ,2,1,2016
298,2016-05-17,Tuesday  ,17,5,May      ,2,1,2016
299,2016-05-18,Wednesday,18,5,May      ,2,1,2016
300,2016-05-19,Thursday ,19,5,May      ,2,1,2016
301,2016-05-20,Friday   ,20,5,May      ,2,1,2016
302,2016-05-23,Monday   ,23,5,May      ,2,1,2016
303,2016-05-24,Tuesday  ,24,5,May      ,2,1,2016
304,2016-05-26,Thursday ,26,5,May      ,2,1,2016
305,2016-05-27,Friday   ,27,5,May      ,2,1,2016
306,2016-05-30,Monday   ,30,5,May      ,2,1,2016
307,2016-05-31,Tuesday  ,31,5,May      ,2,1,2016
308,2016-06-01,Wednesday,1,6,June     ,2,1,2016
309,2016-06-02,Thursday ,2,6,June     ,2,1,2016
310,2016-06-03,Friday   ,3,6,June     ,2,1,2016
311,2016-06-06,Monday   ,6,6,June     ,2,1,2016
312,2016-06-07,Tuesday  ,7,6,June     ,2,1,2016
313,2016-06-08,Wednesday,8,6,June     ,2,1,2016
314,2016-06-09,Thursday ,9,6,June     ,2,1,2016
315,2016-06-10,Friday   ,10,6,June     ,2,1,2016
316,2016-06-13,Monday   ,13,6,June     ,2,1,2016
317,2016-06-14,Tuesday  ,14,6,June     ,2,1,2016
318,2016-06-15,Wednesday,15,6,June     ,2,1,2016
319,2016-06-16,Thursday ,16,6,June     ,2,1,2016
320,2016-06-17,Friday   ,17,6,June     ,2,1,2016
321,2016-06-21,Tuesday  ,21,6,June     ,2,1,2016
322,2016-06-22,Wednesday,22,6,June     ,2,1,2016
323,2016-06-23,Thursday ,23,6,June     ,2,1,2016
324,2016-06-24,Friday   ,24,6,June     ,2,1,2016
325,2016-07-01,Friday   ,1,7,July     ,3,2,2016
326,2016-07-07,Thursday ,7,7,July     ,3,2,2016
